ID,City,How would you describe your current situation?_Nonprofit research scientist,How would you describe your current situation?_Student aged 16-26,How would you describe your current situation?_Unemployed,Current school_ENP,Current school_ENSIA,Current school_ESB,Current school_ESI,Current school_ESI ,Current school_ESTIN,Current school_HIS,Current school_INELEC,Current school_UMBB,Current school_UNIVERSITY ALGIERS 1,Current school_USTHB,Academic Year_1CP / L1,Academic Year_1CS / L3,Academic Year_2CP / L2,Academic Year_2CS / M1,Academic Year_3CS / M2,Academic Year_Graduate / Alumni,On what device will you use DataCamp?_My own computer,On what device will you use DataCamp?_My own mobile device,Are you currently receiving any other forms of financial assistance or scholarships?_No,Are you currently receiving any other forms of financial assistance or scholarships?_Yes,"On a scale of 1-5, how much do you know about data science, analysis, engineering, AI, and/or machine learning?_1","On a scale of 1-5, how much do you know about data science, analysis, engineering, AI, and/or machine learning?_2","On a scale of 1-5, how much do you know about data science, analysis, engineering, AI, and/or machine learning?_3","On a scale of 1-5, how much do you know about data science, analysis, engineering, AI, and/or machine learning?_4","On a scale of 1-5, how much do you know about data science, analysis, engineering, AI, and/or machine learning?_5",How much time will you dedicate to use DataCamp regularly?_1-2 hours/week,How much time will you dedicate to use DataCamp regularly?_3-5 hours/week,How much time will you dedicate to use DataCamp regularly?_>5 hours/week,"After using DataCamp for 6-12 months, are you willing and able to fill out and submit this survey about your experience?_Maybe","After using DataCamp for 6-12 months, are you willing and able to fill out and submit this survey about your experience?_No","After using DataCamp for 6-12 months, are you willing and able to fill out and submit this survey about your experience?_Yes"
129,Boumerdes,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,True
130,Algiers,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,True
131,Tipaza,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,True
132,Boumerdes,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,True,False,False
133,Algiers,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,True
134,Boumerdes,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,True
135,Algiers,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,True
136,Algiers,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,True
137,Algiers,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,True,False,False,False,True
138,Algiers,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,True,False,False,False,False,False,True,False,True,False,False
139,Algiers,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,True,False,False,False,False,False,True,False,True,False,False
140,Algiers,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,False,True,False,True,False,False
141,Tlemcen,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,True
